Symbol,Pt1,Pt2,Pt4,Pt5,Pt6,Pt7,Pt8,Pt9,Pt10,Pt12,Pt13,Pt14,Pt15,Pt19,Pt20,Pt22,Pt23,Pt25,Pt27A,Pt27B,Pt28,Pt29
ABCB1,471,613,60,93,1191,11448.45,210,114,69,182,209,90,107,20,293,251,149,47,156.66,81,94,287
ABCB10,1763,1064,712,2568,784,1069,717,1547,1962,1302,918,2319,1963,318,1082,1294,890,409,2321,2413,683,1227
ABCB11,2,745,1,0,1,0,3,12,1,0,3,3,0,0,4,1,0,0,35,17,16,1
ABCB4,56,1969,91,13,2013,1140.55,179,102,678,1484,1529,40,540,101,28,141,243,21,99.34,80,45,149
ABCB5,10885,16976,16535,10831,5172,15,2982,116,28,2,33,18,6010,540,1644,1127,3108,181,7775,8567,231,10973
ABCB6,961,761,1540,975,1026,1349,759,834,3251,578,670,980,2412,3732,610,1371,2144,2080,741,665,967,1134
ABCB7,1125,895,875,1545,2243,629,529,1975,1040,365,863,2096,686,102,637,961,687,319,1555,1897,557,841
ABCB8,1445,878,1665,879,2575,848,834,2261,1830,2568,1292,1303,3149,3381,957,2068,2907,1405,915,593,725,1547
ABCB9,886,109,270,762,383,98,233,216,724,1104,340,212,108,763,55,183,326,215,148,127,86,139
ABCC1,2581,984,4865,3484,4248,1348,965,1025,3955,271,1926,6420,847,1081,1038,2542,1898,1349,2614,2212,2686,1061
ABCC10,1051,542,2293,3687,976,1057,324,800,825,784,1382,1710,781,1078,688,1543,881,1470,808,765,493,1436
ABCC11,14,2143,2733,49,9,38,88,59,62,3,24,11,42,4,870,102,6,12,1530,2159,51,296
ABCC12,0,113,37,0,0,1,1,0,5,0,0,258,1,0,9,0,1,0,1,0,1,2
ABCC13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABCC2,813,2882,44,3481,5141,1087,6,38,17,262,33,44,1143,87,50,81,187,121,1284,1379,91,89
ABCC3,287,1465,88,41,447,79,54,233,572,288,607,122,109,105,225,950,443,37,132,124,530,471
ABCC4,1469,426,217,1533,3266,719,703,2712,2604,1017,557,2534,480,135,729,736,724,344,276,187,219,1412
ABCC5,2651,753,3528,3302,2483,3532,1533,1435,3150,1810,1472,3735,3327,1016,1225,2193,2436,1065,1848,2541,1102,3772
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,8,1930.14,12.32,1,2,10.14,3,396.59,7.13,0,5,26.53,4,5,7,19.61,19.57,1,19,15,25.78,160.48
ABCC6P1,1,412.29,0,0,0,9.73,1,8.06,2.87,0,0,0,0,0,1,0,5,0,2,0,4.22,30.62
ABCC6P2,1,20.57,1.68,0,0,10.13,0,4.35,7,7,0,35.47,2,0,0,2.39,18.43,0,0,0,1,8.91
ABCC8,0,0,2,238,0,2,0,29,891,0,0,0,0,2,0,10,0,0,0,0,0,5
ABCC9,1217,883,139,30,304,342,345,420,360,292,897,934,394,24,157,1604,867,77,414,244,243,1990
ABCD1,2654,1797,993,3759,16589,2238,387,2197,400,1429,1609,2933,623,7107,1240,1664,2275,4010,1922,1469,320,1439
ABCD2,51,20,14,4,7,25,10,77,3,1,102,89,20,7,201,221,36,5,93,19,16,92
ABCD3,3548,2355,1774,4390,4192,2471,1062,3726,1952,2643,4064,6085,3287,646,1534,2612,2276,1307,4155,4671,2056,1625
ABCD4,1533,1228,1226,2105,2840,728,263,1355,1208,1006,1448,956,825,491,580,1423,828,566,1043,1026,519,997
ABCE1,6921,2501,3104,5907,5307,1875,2974,7053,6290,5577,4994,13299,4761,998,2432,4335,5442,1684,6736,6873,3065,4364
ABCF1,6745,2030,7170,15102,8961,2352,1699,3774,3637,2615,6227,7067,2411,2240,2356,5986,4393,3723,4134,3568,2623,4303
ABCF2,4647,1440,5205,3031,6868,1788,3173,7499,3750,6618,4390,7322,4707,1703,1541,4251,4204,1947,3321,2728,2438,4013
ABCF3,3244,1297,3484,2730,3034,1939,1269,3094,3220,2156,3155,7032,2562,2730,2032,2648,2005,1438,2106,1995,1615,2398
ABCG1,488,2137,718,107,797,323,421,827,548,115,906,3174,462,86,494,2391,628,219,691,486,1096,457
ABCG2,74,292,84,69,189,35,12,71,83,34,110,409,607,41,75,187,186,36,10,6,23,271
ABCG4,6,6,4,12,1,11,2,1,28,4,11,6,3,14,2,19,28,0,4,0,287,10
ABCG5,3,911,4,11,25,14,0,27,26,7,7,0,15,3,0,5,29,0,0,0,9,0
ABCG8,1,1484,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,15,0
ABHD1,47,28,6,2,3,4,2,11,10,2,9,5,1,28,5,5,7,2,1,1,1,1
ABHD10,1569,821,1490,1557,2565,1577,556,3006,2076,596,1765,3239,2156,743,1545.47,1591,1504,1074,1466,1645,446,2280
ABHD11,460,439,594,350,1254,474,568,1107,1269,794,603,1145,622,466,396,651,1163,636,373,284,214,1082
ABHD12,5342,2202,4128,8207,3042,2673,2330,3300,5564,6202,2444,5290,5138,5492,2197,3386,2700,3913,3904,3147,1271,2647
ABHD12B,0,5,0,0,23,3,3,686,41,10,24,30,1,2,91,88,0,1,131,152,384,1
ABHD13,1681,1300,1414,2046,2604,1115,837,1788,1088,1213,1579,1834,991,222,1296,1219,876,564,4390,4630,751,1788
ABHD14A,724,339,437,564.19,543,284.11,342,597,837,399.29,407,318,369,927,524.98,302.4,280,1406.25,271.48,203,99,266
ABHD14A-ACY1,0,0,0,14.56,0,12.67,0,0,0,9.96,0,0,0,0,24.34,46.67,0,124.29,33.08,0,0,0
ABHD14B,5149,3713,4610,3866,2945,1573,1433,1886,2408,1172,1851,2735,1127,6967,1523,2025,1108,3669,2023,1737,1280,1496
ABHD15,1240,1087,480,1037,1484,407,371,713,834,955,1106,988,565,616,360,819,699,443,820,554,320,583
ABHD16A,3031,2228,3125,3820,3592,1009,920,3040,1955,4449,3827,1828,2682,1200,1761,2980,2503,1881,1303,976,1030,3024
ABHD16B,154,46,136,114,139,123,97,262,278,223,133,470,125,389,139,126,214,120,152,131,201,146
ABHD2,24358,9107,8368,7121,22205,45854,2736,24378,5331,16539,38268,16798,3272,4696,2394,8988,2968,996,12491,11112,2016,5338
ABHD3,914,1086,315,554,1148,941,368,1221,976,1435,680,782,707,164,594,933,1201,536,685,502,268,2246
ABHD4,1708,1214,1404,2089,1960,953,456,1173,1661,1295,1877,1939,871,1168,674,1648,667,752,1484,1365,816,613
ABHD5,1295,490,1168,966,1132,1008,466,1751,1037,690,1198,2393,682,376,766,937,1094,457,1009,995,1826,1105
ABHD6,2279,1641,592,3646,3140,1650,314,654,825,1283,765,1050,866,573,640,403,612,334,1148,1103,324,748
ABHD8,599,304,408,976,455,400,135,618,492,408,532,1010,298,788,186,440,361,111,591,419,269,376
ABI1,5124.85,3115.81,3369,3785,4244.28,2957.43,1240.84,3206.68,2684.74,3085.42,3064.21,6587.1,2754.79,753,4367.18,4004.91,2847.88,2031.33,5184.73,5921.22,3839.99,3455.46
ABI2,6701,2082,4417,2931,1996,1830,1305,3414,10638,5811,3515,4179,1547,895,894,2954,1619,1089,4632,4342,433,1294
ABI3,537,281.77,392,150,559,94,124,400,191,122,1802,1469.77,353.74,570,625,1473.81,831.78,541,786,425,216,635
ABI3BP,4641,60,40,17,156,176,454,3479,249,381,375,1278,334,169,400,3056,528,228,1477,559,140,142
ABL1,4965,2525,12826,5822,6138,2592,1637,2360,6306,2232,6524,8086,1762,2749,3314,5517,2226,3013,5582,5558,1570,4854
ABL2,16128,3108,9217,11857,10443,4129,2250,3455,4666,6976,4476,6761,5834,1488,1941,6767,5107,2620,7986,7539,646,4940
ABLIM1,4252,2608,2366,175,3026,561,1108,1008,648,203,438,754,407,442,836,2296,584,314,5683,4814,8176,1020
ABLIM2,315,39,56,20,374,1315,28,103,152,613,53,45,23,193,17,80,47,65,98,43,360,38
ABLIM3,7747,1453,226,2363,2036,210,633,4107,1168,2488,3942,6063,677,547,380,1834,1083,215,1001,982,169,341
ABO,2,0,2,3,15,0,0,6,5,1,11,11,1,1,1,33,13,4,0,2,25,18
ABP1,18,101,1,1,11,0,0,90,22,0,12,10,8,4,5,28,12,4,2,1,158,13
ABR,7760,2910,6289,19168,10840,9514,4840,7748,9039,6832,11602,11716,2462,6275,4605,7069,5114,8963,5986,5802,2919,5133
ABRA,0,0,0,0,0,1,4,3,1,0,4,1,4,4,1,3,0,0,2,1,2,0
ABRACL,1339,541,1181,2408,3062,1784,731,1926,1049,984,1243,4190,1399,507,1004,1403,1924,682,1218,853,1071,1384
ABT1,2078,1085,4046,4713,2731,982,723,1626,1063,898,1984,2678,1689,1031,1302,2149,1221,1988,1575,1364,1118,1819
ABTB1,816,459,889,647,1038,2207,321,1293,1645,337,913,1471,559,2816,929,1266,953,499,915,823,484,778
ABTB2,1399,667,1369,2033,7274,500,630,1254,4247,713,1242,1346,150,411,885,1399,338,610,2347,2758,211,617
ACAA1,2740,4886,3530,1418,3795,2796,1211,4074,3300,912,2552,2389,3009,1479,1803,1720,2341,1543,1660,1357,2388,2739
ACAA2,4179,9068,2189,1590,3036,268,935,5532,3413,537,2264,3912,1930,360,1228,3273,2488,2736,2104,1681,445,4064
ACACA,3534,2488,5649,911,4770,2393,901,1904,10439,2261,3182,8283,1801,1014,643,2620,1471,1180,2980,1977,2397,3045
ACACB,948,2413,463,136,1394,375,443,1165,1017,643,652,759,225,449,462,2127,706,384,1150,676,169,862
ACAD10,798,1249,849,1619,3009,339,421,1116,1413,974,683,1243,1152,416,474,1159,586,675,1432,1338,397,766
ACAD11,949.93,1628.3,672.54,423.79,552.68,892.15,436.54,1437.45,1388.08,580.17,906.62,1511.65,774.18,186.74,565.51,804.22,639.11,127.72,971.11,1452.29,392.91,1776.94
ACAD8,701,831,391,701,1911,986,220,2079,992,837,1303,1629,1433,274,498,1071,529,396,975,981,1388,737
ACAD9,2411,1136,2593,1960,1849,1809,757,2120,2190,1512,1792,3260,1637,862,926,1737,1223,957,2071,1739,2553,1844
ACADL,6,281,0,0,19,1,0,15,10,9,2,26,0,5,2,22,2,2,16,1,4,113
ACADM,3797,6008,1703,3075,5187,1738,1421,4720,2903,4312,3273,2845,4743,758,2034,3631,4022,839,2310,2405,1376,3040
ACADS,686,2595,503,459,1074,489,750,1302,762,497,1001,542,674,2125,566,1070,570,627,408,244,456,956
ACADSB,1632,9733,836,3084,3884,1118,370,1901,829,126,748,3259,2154,235,612,1036,724,147,1651,1953,451,1379
ACADVL,9114.55,7796.97,2328.66,10767.91,20971.97,6086,4618,18226.94,14439.15,12683.98,10549.52,8960.89,7052.99,3639.3,3229.98,10458.47,6719.95,2544,4454,3332.99,9790,5857.96
ACAN,208,6,113,115,17,15,46,24,6183,9,195,131,48,32,10,759,791,88,59,9,11,34
ACAP1,556,133,139,6,87,58,52,560,95,37,492,194,250,220,1554,624,278,386,330,99,266,456
ACAP2,3577,1903,2698,2938,3800,3876,1482,3331,4616,3155,3240,7826,2576,689,2877,3692,3211,758,4325,4970,1878,4153
ACAP3,2702,602,927,1664,961,1989,915,2003,2268,5497,2520,1082,503,1046,796,1523,2982,1007,839,837,1997,856
ACAT1,3019,12992,1174,2870,3104,2432,1104,5970,5099,885,2105,6957,4030,669,1487,3486,3598,1663,3183,2775,1092,3256
ACAT2,641.27,886.19,1082.24,522.21,1483.71,4178.93,422.78,3002.86,3284.82,936.83,1184.44,2947.66,1838.26,393.29,486.76,888.57,824.45,258.42,1147,870,1272.01,981.79
ACBD3,5452,3039,5286,7846,6968,2768,2009,3107,5915,3821,4832,3867,3256,1420,3761,5629,2128,1538,4958,5240,2537,3265
ACBD4,613,979,446,719,300,277,134,356,252,114,317,346,178,301,189,367,140,114,253,261,105,237
ACBD5,2067,2477,1067,1454,2422,1249,568,2140,1403,2547,1621,3695,1371,471,1360,1860,1519,457,2011,1938,969,1762
ACBD6,2092,1049,3449,3100,1077,1843,493,1752,1998,907,1418,1877,1340,1111,1046,1913,1634,3457,1708,1440,795,914
ACBD7,48,22,32,270,32,70,13,11,32,120,24,31,41,11,16,28,32,25,254,95,9,72
ACCS,523,186,141,519,148,394,133,469,201,61,329,273,273,228,416,304,279,56,562,849,180,164
ACCSL,10,0,64,443,70,2,41,22,0,1,0,0,67,1,51,7,3,41,36,54,0,1
ACD,860,382,662,1567,607,676,297,1025,840,424,605,2391,497,407,280,610,576,653,897,754,278,379
ACE,1625,104,510,363,309,125,225,660,6357,258,1337,1429,230,670,320,1564,840,327,519,196,292,486
ACE2,2,20,8,25,25,0,4,3,5,4,4,2,2,5,6,8,2,17,8,2,101,54
ACER1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,479,0
ACER2,70,66,79,77,310,82,15,72,104,99,58,83,50,14,26,88,65,12,94,83,49,188
ACER3,1051,325,741,1403,1866,595,540,1829,1458,422,1158,4051,697,125,395,1334,1280,1878,1105,931,620,902
ACHE,84,42,149,8,7,18,182,42,212,29,26,26,44,228,76,56,75,18,18,8,38,294
ACIN1,9027.46,2871.4,7196.99,8724.05,14801.83,3591,1708.4,4841,8767.03,8315.49,8167.5,8880.77,2925,2771.43,3131,7394.97,3565,3107,7022,7004,3479.29,4725.37
ACLY,14627,2972,19173,12965,20369,6454,2838,12268,24990,10257,12615,26999,3887,3463,2855,9976,6604,3810,9468,7309,3327,5986
ACMSD,1,804,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1
ACN9,849,593,1689,477,1131,634,864,2391,2328,1063,1596,1216,3083,417,599,1196,1601,616,394,341,394,2195
ACO1,1940,1831,791,2154,3560,1181,505,3172,2437,1831,1622,5161,1199,226,568,1956,1689,742,1731,1184,834,825
ACO2,8599.39,4278.61,10146.91,12755.27,12660.69,4553.07,1804.61,7474.35,19813.1,5671.05,4126.96,6492.83,5290.07,7852.1,2487.84,6149.14,3811.01,2969.47,5072.34,4567.17,2624.94,6590.53
ACOT1,222.83,562.81,290.64,372.34,988.02,43.44,25.84,792.44,265.7,329.48,264.33,286.68,111.34,37.3,97.64,374.72,251.71,292.58,146.86,105.18,82.48,297.71
ACOT11,120.07,8.71,65,6,73,145.38,232.51,136,471.5,426.32,338.13,87.53,38,183,15,86.57,160.26,14,37,38,421.95,25
ACOT12,1,470,1,0,0,0,0,1,3,1,0,0,0,4,0,1,0,1,1,1,8,0
ACOT13,1843.46,1739.99,2065.38,3392.91,2763.07,828.25,392.58,1459.47,1305.58,929.87,2133.31,1396.97,1544.25,352.62,734.32,1357.74,1803.34,488.79,927.17,973.06,728.05,1566.51
ACOT2,1144.17,1648.19,1073.36,2092.66,3921.98,946.56,41.16,1836.56,1389.3,929.52,981.67,928.32,794.66,1276.7,743.36,1461.28,697.29,431.42,580.14,458.82,265.52,789.29
ACOT4,55,139,31,17,37,58,62,108,143,10,71,44,93,24,78,79,89,41,44,20,49,138
ACOT6,1,8,0,1,2,1,0,7,9,0,0,2,7,0,2,2,2,4,1,0,0,3
ACOT7,17278,2213,4122,11928,18736,6522,1597,6473,5268,11104.98,4514,10680,1645,4784,1520,2534,3830,3438,6468,4333,1786,3483
